street_address,zip_code,city,state
7664 OLD KINGS RD S,32217,Jacksonville,FL
5506 KEYSTONE DR S,32207,Jacksonville,FL
912 SHIPWATCH DR E,32225,Jacksonville,FL
11515 KELVYN GROVE PL,32225,Jacksonville,FL
6306 BAYFIELD DR,32277,Jacksonville,FL
3905 ST ISABEL DR E,32277,Jacksonville,FL
4322 WOODMERE ST,32210,Jacksonville,FL
1895 WOODLEIGH DR W,32211,Jacksonville,FL
4512 BENTLEY TRACE LN N,32257,Jacksonville,FL
5393 JULINGTON CREEK RD,32258,Jacksonville,FL
7907 DAWSONS CREEK DR,32222,Jacksonville,FL
6119 FIRESTONE RD,32244,Jacksonville,FL
12152 CATTAIL LN,32223,Jacksonville,FL
13033 SAWPIT RD,32226,Jacksonville,FL
2119 VALENCIA DR,32207,Jacksonville,FL
8244 LAKE WOODBOURNE DR,32217,Jacksonville,FL
2926 SCOTT MILL LN,32223,Jacksonville,FL
3324 SCRUB OAK LN,32223,Jacksonville,FL
3386 HAMPSTEAD DR,32225,Jacksonville,FL
325 Franklin Brook Ln,32225,Jacksonville,FL
2870 CHRISTOPHER CREEK RD N,32217,Jacksonville,FL
14010 ATHENS DR,32223,Jacksonville,FL
5419 RIVER RD S,32211,Jacksonville,FL
10960 HAMILTON DOWNS CT,32257,Jacksonville,FL
4233 ALDINGTON DR,32210,Jacksonville,FL
11009 ROCK ISLAND RD,32257,Jacksonville,FL
6998 SAN FERNANDO PL,32217,Jacksonville,FL
111 E 54th St,32208,Jacksonville,FL
8467 SANTANA CT,32220,Jacksonville,FL
5439 PITTMAN DR N,32207,Jacksonville,FL
3308 RIBAULT SCENIC DR,32208,Jacksonville,FL
6360 LOUIS CLARK CT,32222,Jacksonville,FL
9059 HAMPTON LANDING DR,32256,Jacksonville,FL
13733 SANDY CREEK DR,32224,Jacksonville,FL
3047 CROSBY LN,32216,Jacksonville,FL
1931 DERRINGER RD,32225,Jacksonville,FL
7805 BAYMEADOWS CIR W,32256,Jacksonville,FL
5342 MORGAN HORSE DR N,32257,Jacksonville,FL
13481 LONG CYPRESS TRL,32223,Jacksonville,FL
14699 MOORE BRANCH RD,32234,Jacksonville,FL
4143 FERBER RD,32277,Jacksonville,FL
5590 LA MOYA AVE,32210,Jacksonville,FL
3066 DONATO DR N,32226,Jacksonville,FL
2851 CASA DEL RIO TER,32257,Jacksonville,FL
2758 COACHMAN LAKES DR,32246,Jacksonville,FL
8601 BEACH BLVD UNIT 804,32216,Jacksonville,FL
3512 WATERCHASE WAY E,32224,Jacksonville,FL
9426 CEDAR DELL CT,32257,Jacksonville,FL
1226 MCGIRTS CREEK DR W,32221,Jacksonville,FL
11789 CAROLWOOD LN,32258,Jacksonville,FL
4252 BLEINHEIM PL,32225,Jacksonville,FL
12516 CONDOR DR,32223,Jacksonville,FL
7938 TIMBERLIN PARK BLVD,32256,Jacksonville,FL
1337 RIVERPLACE DR,32223,Jacksonville,FL
9446 HECKSCHER DR,32226,Jacksonville,FL
333 BEADLILY CT,32225,Jacksonville,FL
12675 FORT CAROLINE RD,32225,Jacksonville,FL
6442 POTTSBURG DR,32211,Jacksonville,FL
10903 HOUNDWELL WAY,32225,Jacksonville,FL
3336 Palm Island Rd,32250,Jacksonville,FL
2234 River RD,32207,Jacksonville,FL
5147 DIXIE LANDING DR,32224,Jacksonville,FL
10337 CRYSTAL SPRINGS RD,32221,Jacksonville,FL
1261 DELFINO DR,32225,Jacksonville,FL
5637 FT SUMTER RD,32210,Jacksonville,FL
6321 STETLER DR,32216,Jacksonville,FL
1903 SUNCHASE CT,32246,Jacksonville,FL
9374 FISH RD,32220,Jacksonville,FL
4029 RETFORD DR,32225,Jacksonville,FL
5715 WILTSHIRE ST,32211,Jacksonville,FL
2232 AZTEC DR W,32246,Jacksonville,FL
3728 MOSSWOOD CT,32223,Jacksonville,FL
13306 GILLESPIE AVE,32218,Jacksonville,FL
12943 TREE WAY CT N,32258,Jacksonville,FL
2550 LAKE SHORE BLVD,32210,Jacksonville,FL
122 W 10TH ST,32206,Jacksonville,FL
5937 RIDGEWAY RD E,32244,Jacksonville,FL
4376 COQUINA DR,32250,Jacksonville,FL
4971 SCENIC MARSH CT,32226,Jacksonville,FL
6724 EPPING FOREST WAY N,32217,Jacksonville,FL
5317 COMMISSIONERS DR,32224,Jacksonville,FL
6544 SHADY OAK DR,32277,Jacksonville,FL
2336 PINE ISLAND CT,32224,Jacksonville,FL
10804 HIDDEN RIDGE CT,32257,Jacksonville,FL
12027 AUTUMN SUNRISE DR,32246,Jacksonville,FL
12526 LOUIS ST,32223,Jacksonville,FL
3600 DARNALL PL,32217,Jacksonville,FL
13812 TORTUGA POINT DR,32225,Jacksonville,FL
11648 FRANCIS DRAKE DR,32225,Jacksonville,FL
2814 SCOTT MILL ESTATES DR,32257,Jacksonville,FL
4190 TRADEWINDS DR,32250,Jacksonville,FL
3781 CROSSWATER BLVD,32224,Jacksonville,FL
1134 SHIPWATCH DR E,32225,Jacksonville,FL
10234 CYPRESS LAKES DR,32256,Jacksonville,FL
6232 POTTSBURG PLANTATION BLVD,32216,Jacksonville,FL
1301 RIVERBIRCH LN,32207,Jacksonville,FL
11839 MERGANSER WAY,32223,Jacksonville,FL
12986 MANDARIN RD,32223,Jacksonville,FL
947 CHAPELTOWN CIR N,32225,Jacksonville,FL
13639 QUEENS HARBOR BLVD,32225,Jacksonville,FL
11775 RICE RD,32218,Jacksonville,FL
3913 YARBOROUGH DR,32277,Jacksonville,FL
13542 DEVAN LEE DR E,32226,Jacksonville,FL
4423 GLEN KERNAN PKWY E,32224,Jacksonville,FL
183 ANNANDALE DR W,32225,Jacksonville,FL
12050 BRANDON LAKE DR,32258,Jacksonville,FL
814 GRANADA BLVD S,32207,Jacksonville,FL
11034 MANDARIN STATION DR W,32257,Jacksonville,FL
7262 SAN PEDRO RD,32217,Jacksonville,FL
3338 SUNNYSIDE DR,32207,Jacksonville,FL
1138 SEATTLE SLEW LN,32218,Jacksonville,FL
1324 PLACID PL,32205,Jacksonville,FL
7631 ROLLING HILLS DR,32221,Jacksonville,FL
3670 SPINNAKER CT,32277,Jacksonville,FL
2402 CAPTAIN HOOK DR W,32224,Jacksonville,FL
12778 HUNT CLUB RD N,32224,Jacksonville,FL
14254 MT PLEASANT RD,32225,Jacksonville,FL
11634 MARSH ELDER DR,32226,Jacksonville,FL
4968 MEGANWOOD LN,32257,Jacksonville,FL
8650 HAVERHILL ST,32211,Jacksonville,FL
4738 TUNIS ST,32205,Jacksonville,FL
705 GRANADA BLVD S,32207,Jacksonville,FL
2422 MARBLE DR,32211,Jacksonville,FL
6775 HARLOW BLVD,32210,Jacksonville,FL
3398 GUERNSEY CT,32226,Jacksonville,FL
8810 OSPREY LN,32217,Jacksonville,FL
3050 JULINGTON CREEK RD,32223,Jacksonville,FL
7662 WEXFORD CLUB DR W,32256,Jacksonville,FL
7703 BURNT OAK TRL,32256,Jacksonville,FL
4580 JULINGTON CREEK RD,32258,Jacksonville,FL
8445 CONCORD BLVD W,32208,Jacksonville,FL
6823 ALTAMA RD,32216,Jacksonville,FL
3345 BISHOP ESTATES RD,32259,Saint Johns,FL
1103 CEDAR BAY RD,32218,Jacksonville,FL
14761 PLUMOSA DR,32250,Jacksonville,FL
3918 LA MIRADA DR N UNIT 1,32217,Jacksonville,FL
9294 Heckscher Dr,32226,Jacksonville,FL
11205 TURNBRIDGE DR,32256,Jacksonville,FL
5371 CHESTNUT LAKE DR,32258,Jacksonville,FL
3038 PESCARA DR,32246,Jacksonville,FL
7114 STONELION CIR,32256,Jacksonville,FL
8325 CROSS TIMBERS DR E,32244,Jacksonville,FL
927 ARBOR LN,32207,Jacksonville,FL
10646 WOODSDALE LN S,32256,Jacksonville,FL
11898 MAGNOLIA FALLS DR,32258,Jacksonville,FL
10355 ILAH RD,32257,Jacksonville,FL
4480 Deerwood Lake Pkwy UNIT 422,32216,Jacksonville,FL
1316 MAYFAIR RD,32207,Jacksonville,FL
3986 CATTAIL POND CIR W,32224,Jacksonville,FL
5391 WANDERING TRL,32219,Jacksonville,FL
13031 NORMEDS RD,32223,Jacksonville,FL
7008 EPPING FOREST TER,32217,Jacksonville,FL
11131 BIRKDALE CT,32256,Jacksonville,FL
1146 PEBBLE RIDGE DR,32220,Jacksonville,FL
4424 KELNEPA DR,32207,Jacksonville,FL
4708 PRINCE EDWARD RD,32210,Jacksonville,FL
4551 CARRIAGE CROSSING DR,32258,Jacksonville,FL
5012 YACHT CLUB RD,32210,Jacksonville,FL
14630 TIKI LN UNIT 1,32226,Jacksonville,FL
7139 LOVES DR,32222,Jacksonville,FL
2423 GREEN OAK DR,32211,Jacksonville,FL
13711 SAXON LAKE DR,32225,Jacksonville,FL
2309 HIRSCH AVE,32216,Jacksonville,FL
3931 BARCELONA AVE,32207,Jacksonville,FL
11179 LIMERICK DR,32221,Jacksonville,FL
4006 ORTEGA FOREST DR,32210,Jacksonville,FL
6816 SAN SABASTIAN AVE,32217,Jacksonville,FL
6944 RAMOTH DR,32226,Jacksonville,FL
1329 Cedar Bay RD,32218,Jacksonville,FL
1347 WINDSOR HARBOR DR,32225,Jacksonville,FL
6982 GARDEN ST,32219,Jacksonville,FL
1203 GRANDVIEW DR,32211,Jacksonville,FL
2859 FOREST CIR,32257,Jacksonville,FL
8063 APPIAN WAY,32208,Jacksonville,FL
13101 CRICKET COVE RD N,32224,Jacksonville,FL
1982 CAMELLIA OAKS LN,32217,Jacksonville,FL
6656 RAMOTH DR,32226,Jacksonville,FL
7884 MONTEREY BAY DR,32256,Jacksonville,FL
1674 HAMMOCK GROVE LN,32225,Jacksonville,FL
1370 MOSS CREEK DR,32225,Jacksonville,FL
3338 RIVERSIDE AVE,32205,Jacksonville,FL
5623 DARLOW AVE,32277,Jacksonville,FL
366 AUBURN OAKS RD,32218,Jacksonville,FL
0 SHIPWATCH DR,32225,Jacksonville,FL
7534 KESTREL DR,32222,Jacksonville,FL
2700 LAKE SHORE BLVD,32210,Jacksonville,FL
11672 SANDS AVE,32246,Jacksonville,FL
6202 CREETOWN DR,32216,Jacksonville,FL
18002 BRANDY BRANCH RD,32234,Jacksonville,FL
10158 WINDWARD WAY N,32256,Jacksonville,FL
6202&6213 CREETOWN DR,32216,Jacksonville,FL
5226 CLAPBOARD COVE CT,32226,Jacksonville,FL
1106 EUTAW PL,32207,Jacksonville,FL
17353 W BEAVER ST,32234,Jacksonville,FL
5298 CLAPBOARD COVE CT,32226,Jacksonville,FL
